阿尔伯特·芬尼
文尼西斯·狄·奥利维拉
奇幻
基努·里维斯
露西·拉塞尔
塔莉娅·夏尔
花村怜美
安东娜拉·塔莉
志乃原良子
安德丽·帕里西
沙尔曼·乔希
鲁伯特·格林特
侧耳倾听
梁正晖
里卡杜·达林
科幻与未来
艾德里安·布洛迪
英格丽·褒曼
同性恋
朗读者
尤尔根·沃格尔
劳拉·邓恩
石田百合子
博茨瓦纳
梦想
搞笑
达席尔·萨法瑞
李晋纬
裘德·洛
梅利莎·乔治
田中真弓
罗伯特·杜瓦尔
爱德华·伯恩斯
美国往事
彼得·奥图尔
孩子
大卫·李·史密斯
2012
东德
吕克·贝松
旅行
2011
2016
迪·沃伦斯
斯皮尔伯格
1997
秒速5センチメートル
亓亮
犯罪
经典
黄昏恋
刘玉玲
斯特兰·斯卡斯加德
2013
意大利电影
蓝洁瑛
童话
虎口脱险
凯特·布兰切特
阿萨·巴特菲尔德
杰克·吉伦哈尔
詹妮特·海因
疯狂
恰拉
卢旺达饭店
蔡少芬
托马斯·克莱舒曼
莉迪亚·威尔逊
尹秀晶
黑澤明
保罗·雷瑟
大话西游
CharlesChaplin
中谷美纪
约翰·菲尔德
小鞋子
罗伯特·泰勒
海洋
柊瑠美
喜宴
加布里埃尔·伯恩
2014
山姆·洛巴兹
哈特利·鲍尔
刘德华
芙蕾达·平托
杰曼·翰苏
初井言荣
巴瑞·哈姆弗莱斯
教父
马龙·韦恩斯
国产动画
板仓光隆
约翰·古德曼
莱斯利·霍华德
陈冲
HarryPotter
查尔斯·劳顿
乌玛·瑟曼
原节子
War
普路特·泰勒·文斯
婚外恋
入野自由
西班牙
罗家英
古谷彻
感动
理想
2006
詹妮弗·乌尔里希
罗伯特·帕特里克
寿司
萨瑞·巴亚特
郑镇荣
哲学
电影
尼古拉斯·凯奇
桂纶镁
史诗
Pixar
ChristopherNolan
Crash
井川比佐志
钢琴
米拉·库尼斯
三上博史
香港电影
文森特·卡索
地球上的星星
陈百祥
凯瑟琳·泽塔-琼斯
今敏
菲利佩·哈根森
风之谷
西井幸人
音乐剧
1998
奥莉维亚·威廉姆斯
辻亲八
老年
马克斯·冯·叙多
约翰·库萨克
泰隆·鲍华
文艺
雨人
理查德·海顿
阿根廷电影
2002
1982
森光子
柳承龙
爱德华·福隆
娜奥米·沃茨
入殓师
张艺谋
1999
雷·沃纳尔
刘嘉玲
藏羚羊
波兰
刘镇伟
梦工厂
袁丁
萨谢·英吉尼尔
比利时
李大为
泰国
吴倩莲
1972
史蒂芬·朗
漫画改编
北欧
吉约姆·卡内
震撼
文化
香川照之
托妮·科莱特
吉娜·戴维斯
玛丽昂·歌迪亚
连晋
石田卓也
李·范·克里夫
怀旧
艾玛·汤普森
亨弗莱·鲍嘉
凯特·温丝莱特
反思
黑色
安妮特·贝宁
成长
同性
佐伊·索尔达娜
生活
张洋洋
乌尔里希·穆埃
午马
托尼·托德
仲代达矢
重庆森林
梅拉尼·罗兰
拉塞·福格尔斯特伦
大卫·芬奇
佐久间玲
自由
吕颂贤
摩根·弗里曼
纪录
南宝拉
小野隆
让-马克·巴尔
Mandy-Rae Cruikshank
musical
郑有美
多姆纳尔·格里森
让·雷诺
角斗士
珍妮·斯蕾特
抗日
名著
印度
海盗
Louw Verwey
美食
艾玛·斯通
倍赏千惠子
阿联酋
叶玉卿
Bahare Seddiqi
大卫·斯特雷泽恩
雅克·贝汉
桑德琳娜·基贝兰
金正泰
姜文
印度电影
李来
艾德·哈里斯
亚历桑德雷·罗德里格斯
花样年华
费雯·丽
麦斯·米科尔森
梁家辉
克里斯托弗·普卢默
比利·克里斯托
政治
蒂博•费尔哈格
魔术
佛罗伦斯·李
童孝熙
harrypotter
费雯丽
黄秋生
日本电影
stevenSpielberg
拉塞尔·布兰德
坦迪·牛顿
圭塞佩·苏尔法罗
1991
贝弗利·陶德
猜火车
西部
塔奈·切赫达
埃尔登·汉森
圣诞
陈柏霖
米歇尔·菲佛
黛安·基顿
詹姆斯·沃克
Leandro Firmino
詹姆斯·厄尔·琼斯
诺兰
傲慢与偏见
KeanuReeves
发条橙
大卫·休里斯
丹麦
Nafise Jafar-Mohammadi
柯莱儿·布翁尼许
赵文瑄
IMAX
迈克·克拉克·邓肯
2010
威尔·史密斯
艾文·布莱纳
松隆子
威廉·达福
初恋
杜琪峰
杰弗里·怀特
KeiraKnightley
沃伦·克拉克
琼·艾伦
威廉·赫特
葛优
清新
安·米勒
俞承豪
杰克·塞隆
路易·德·菲耐斯
杰西卡·阿尔芭
汤姆·汉克斯
达斯汀·霍夫曼
LeonardoDiCaprio
李·科布
RobinWilliams
新西兰
阿什顿·库彻
狗狗
超级英雄
朱莉·德尔佩
山姆·洛克威尔
默片
图灵
京町子
海上钢琴师
苏达拉·布查蓬
杰森·斯坦森
运动
克里斯·奥唐纳
尼古拉斯凯奇
张艾嘉
金妮弗·古德温
金熊奖
动漫
王家卫
加布里埃尔·安瓦尔
近藤好美 
纯真
伊莱·罗斯
爱情
道格拉斯·席尔瓦
温暖
尼德·巴蒂
史蒂芬·鲍德温
金素梅
奥顿·巴斯托斯
亨利·托马斯
迭戈·鲁纳
John Chisholm
郑佩佩
江口洋介
宝莲·高黛
朱丽叶·比诺什
岩男润子
山口朱美
爱尔莎·兰切斯特
德鲁·巴里摩尔
瑞士
青春
1975
鹫尾真知子
罗瑞娜·克拉沃塔
克斯汀·邓斯特
女性
雷·利奥塔
朴信惠
JohnnyDepp
艾伦·阿金
碧海蓝天
2004
维拉·迈尔斯
李璟荣
布兰达·布莱斯
恋恋笔记本
玛丽·吉布斯
终结者
失忆
理查·基尔
JaredLeto
任达华
瑞恩·波特
二战
李己雨
罗里·金奈尔
米歇尔·莫纳汉
宁静
艾瑞克·巴纳
TomCruise
杨瑜珍
关口雄介
吉娜·马隆
詹妮弗·康纳利
罗伯特·麦克纳夫顿
1995
奥黛丽·弗洛特
本尼迪克特·康伯巴奇
无耻混蛋
菅原文太
詹姆斯·加纳
历史
赛德·查里斯
法国电影
家庭
约瑟夫·高登-莱维特
matrix
英国电影
罗宾·威廉姆斯
莫文蔚
环保
假如爱有天意
动作
志田未来
狄龙
活着
金艺芬
米哈乌·热布罗夫斯基
暴力
布莱恩·考克斯
乔·潘托里亚诺
戛纳
格伦·汉塞德
哈利波特
肖姆斯·戴维-菲茨帕特里克
朱莉·安德鲁斯
杰拉德·巴特勒
塞巴斯蒂安·科赫
宫崎骏
阿曼达·皮特
杰瑞米·艾恩斯
汤姆·塞兹摩尔
友情
里奥·故罗塔
马丁·辛
魂断蓝桥
安东尼·爱德华兹
比尔·努恩
天堂电影院
克拉克·盖博
中山美穗
沙鲁巴·舒克拉
简·林奇
寺田稔
唯美
MorganFreeman
琼·库萨克
日本
史蒂夫·卡瑞尔
西格妮·韦弗
克劳德·雷恩斯
粘土动画
凯文·麦克基德
沉默的羔羊
史蒂夫·布西密
小说改编
贾梅尔·杜布兹
死亡诗社
地亚哥·詹蒂莱
稻叶义男
人生
金雷河
安东尼·霍普金斯
艾伦·瑞克曼
周润发
1992
罗马假日
布莱恩·豪威 
海莉·斯坦菲尔德
宮崎駿
银河映像
朱斯蒂诺·杜拉诺
阿诺·施瓦辛格
本·金斯利
music
约瑟芬·勒巴-乔利
T·J·劳瑟
西恩·潘
朱茵
欧美
间谍
Marius Weyers
劳伦斯·菲什伯恩
威廉姆·赛德勒
克里斯托弗·沃肯
姜武
詹姆斯·卡梅隆
加利·艾尔维斯
渡边谦
塞缪尔·杰克逊
电影原声
NicolasCage
伊德里斯·艾尔巴
1936
潘迪华
再见萤火虫
尼克·弗罗斯特
韩国电影
罗比·萨布莱特
水桥研二
蓝色大门
阿根廷
全慧珍
动画电影
詹姆斯·瑞布霍恩
大片
卡通
理查德·卡斯特尔诺
Matilde Piana
克劳迪奥·布鲁克
伊万·麦克格雷格
朱宝意
克里斯托弗·沃尔兹
1987
迈克尔·贝茨
朱莉娅·奥蒙德
自然
松本梨香
郎雄
周星驰
约翰·诺兰
小清新
GuyRitchie
默罕默德·阿米尔·纳吉
宇宙
爱德华·诺顿
纪录片
与狼共舞
弗吉尼亚·菲尔德
梅兰尼·蒂埃里
1990s
索拉·伯奇
狗
上帝也疯狂
1942
亚历桑德罗·尼沃拉
张正阳
杨静怡
杨贵媚
片桐入
伊朗
乔西·查尔斯
归亚蕾
2001
丹尼·爱罗
蕾拉·哈塔米
东山千荣子
唐纳德·萨瑟兰
游戏
宫泽理惠
诺亚·艾默里奇
马里利娅·佩拉
邱岳峰
爱尔兰电影
迪士尼
乔尔·埃哲顿
美轮明宏
1953
武士
奥利维娅·德·哈维兰
荒岛余生
勇敢的心
中国大陆
吴兴国
哈威·凯特尔
王祖贤
露塞尔·沃特森
once
格利高里·派克
台灣
贾登·史密斯
孤独
丹尼·德维托
安东尼·博金斯
黄渤
马修·卡索维茨
MattDamon
3D动画
艾玛·沃森
卡兰·麦克奥利菲
笠智众
休·格兰特
金城武
帕特里克·马基
高桥一生
尼克·莫兰
斯蒂芬·瑞
心理
瑞秋·卡帕尼
张丰毅
夏雨
Sandra Prinsloo
平采娜·乐维瑟派布恩
吸血鬼
休·杰克曼
斯科特·安第斯
闵京勋
曹承佑
种族
黎明
楊德昌
卓别林
本名阳子
爱
张国荣
毒品
我修院达也
路易丝·弗莱彻
梅莉莎·班诺伊
金海淑
哪吒闹海
Amir Farrokh Hashemian
内山昂辉
杰克·尼科尔森
肯尼思·布拉纳
薇诺娜·瑞德
马蒂娜·戈黛特
gay
浪漫
艾丹·奎因
巩俐
卡雅·斯考达里奥
同志
名著改编
Marvel
在路上
维拉·法米加
探索
钟楚红
加里·奥德曼
布丽姬·穆娜
外星人
安妮·海瑟薇
宫口精二
杰夫·格尔林
甄子丹
芭蕾
李顺载
奥黛丽·玛丽奥
1931
小野祯一
中国动画
乌尔里奇·图克尔
山本益弘
2000
小津安二郎
泷田洋二郎
赖拉·邦雅淑
周星星
苏菲·玛索
珍妮特·利
查理·卓别林
菲利普·塞默·霍夫曼
凯瑟琳·基纳
艾伦·佩吉
黄金三镖客
牛犇
鲍勃·冈顿
罗姗娜·阿奎特
Animation
Gurêto Gidayû
JackNicholson
户田惠子
王笑天
律政
赵寅成
冈田将生
爵士
闻香识女人
1986
杰森·席格尔
凯莉·库恩
伊朗电影
巴西电影
千秋实
暗恋
瑞典
雨果·维文
爱德华·阿斯纳
独立电影
伊丽莎白·麦戈文
安东尼·希尔德
乔·佩西
吴达洙
比利·克鲁德普
ClintEastwood
伊恩·麦克莱恩
社会
姜素拉
詹妮弗·莫里森
JimCarrey
法式情怀
文革
克里斯蒂安·史莱特
TimBurton
杰拉尔·朱诺
吴君如
凯西·贝茨
酒井美纪
1974
尼可莱塔·布拉斯基
米娜·苏瓦丽
理查德·哈里斯
沈恩京
格雷厄姆·格林
薛耿求
传记
毕克
北野武
西恩·奥斯汀
牯岭街少年杀人事件
约翰·C·赖利
吴宇森
张国柱
赵文卓
马里奥·毛瑞尔
思想
丽芙·泰勒
李治廷
埃迪·艾伯特
三浦友和
科幻
杨恭如
人性
蒂姆·艾伦
迪斯尼
海伦·亨特
施瓦辛格
刘兆铭
娜塔莉·波特曼
丹尼·格洛弗
布尔维尔
台湾
老师
父子
保罗·亨雷德
汤姆汉克斯
斯嘉丽·约翰逊
艾丽卡·里瓦斯
大闹天宫
梅尔·吉布森
JacquesPerrin
詹姆斯·伍兹
维果·莫腾森
贾斯汀·塞洛克斯
奥斯卡
Blue
亲情
三船敏郎
菊次郎的夏天
战争
加拿大
克里斯蒂安·贝尔
Simon Hutchins
伊利亚·伍德
宝莱坞
宁浩
LucBesson
琳达·汉密尔顿
Tiny Sandford
穿越时空的少女
严志媛
中国电影
北林谷荣
1957
魔女宅急便
树木希林
1950
乔丹·长井
RalphFiennes
温水洋一
穿条纹衣服的男孩
缘分
詹妮弗·普里尔
情色
吉娜·罗兰兹
马修·麦康纳
励志
瑞恩·雷诺兹
美国电影
马修·古迪
桥本爱
亚历克斯·霍
法律
希斯·莱杰
加勒比海盗
天空之城
英若诚
丹尼斯·利瑞
鲁珀特·格雷夫斯
Tomhanks
西德
罗素·克劳
阳光灿烂的日子
七宗罪
真实事件改编
教育
剪刀手爱德华
罗伯特·德尼罗
米歇尔·威廉姆斯
托纳多雷
艾萨·丹尼埃利
太空
德克斯特·弗莱彻
春光乍泄
吴念真
汉诺·波西尔
小野二郎 
张柏芝
奥黛丽·塔图
纳粹
奥玛·赛
尊龙
索马里
日高法子
disney
瑞秋·麦克亚当斯
StanleyKubrick
吴孟达
金英爱
悬疑
黑白
武侠
金相庆
秋日传奇
大卫·摩斯
德国
杰克·麦克布瑞尔
赫本
大卫·克劳斯
NataliePortman
杰西卡·查斯坦
赵雪莹
伦理
克里夫·欧文
奥黛丽·赫本
港台
海利·乔·奥斯蒙
中国
日影
鸟
瑞恩·高斯林
吉行和子
巴西
音乐之声
邦尼·亨特
马修·布罗德里克
本尼西奥·德尔·托罗
校园
托玛斯·博·拉森
伊尔凡·可汗
Luciano Federico
马特·达蒙
林海峰
坎雅·拉坦娜佩琦
王菲
裴淳华
尚华
玛可塔·伊尔格洛娃
一一
记忆
情感
拉菲·斯波
Disney
宋康昊
明金成
安妮卡·韦德科普
蒂姆·罗斯
迈克尔·凯恩
宫崎峻
剧情
金志英
TomHanks
迈克尔·马德森
仲里依纱
夏木真理
恐怖
波兰斯基
拉尔夫·费因斯
杰克·布莱克
莎拉·德鲁
歌舞片
安乐妮
非洲
瑛太
皮克斯
布鲁斯·威利斯
亚美莉卡·费雷拉
杰森·贝特曼
巴里·佩珀
娜德·蒂约
约翰·特拉沃尔塔
汤姆·克鲁斯
信念
饮食男女
恶搞
安德莉亚·埃克特
孔侑
丹尼尔·海尼
加布里埃尔·曼
罗宾·怀特
卑鄙的我
费尔兰德·蒙特纳哥
温情
新海诚
广末凉子
女权
灾难
1966
Charles Hambleton
玛丽·麦克唐纳
大陆
伊桑·霍克
欧洲
德国电影
唐伯虎点秋香
麦人
詹姆斯·肯恩
澳大利亚
本·卫肖
芳妮·A·钱勃丝
托尼·雷沃罗利
梁又琳
魔幻
小林桂树
刘桦
劳拉·哈灵
利亚姆·海姆斯沃斯
威尔·阿奈特
弗朗索瓦·克鲁塞
郭度沅
捷克
艾伦·艾克哈特
本·贝尔特
河正宇
童年
神木隆之介
中东
国产
RidleyScott
歌舞
岩井俊二
MartinScorsese
柏原崇
窃听
梁朝伟
格温妮斯·帕特洛
弗兰西丝·奥康纳
独裁
玛琳·黛德丽
苏菲·奥康内多
布拉德·皮特
尼尔·帕特里克·哈里斯
黑泽明
七武士
监狱
特里特·威廉斯
张曼玉
小马克·布恩
杰伊·巴鲁切尔
幽灵公主
京田尚子
姜宏波
RobertDeNiro
治愈
萨拉·罗默尔
金秀美
凯德·麦拉德
伊安·霍姆
朱丽娅·斯蒂尔斯
朱江
马达范
多米尼克·斯科特·凯伊
山寺宏一
佐仓绫音
克里斯托弗·洛伊德
本木雅弘
1993
战争之王
桑德拉·布洛克
爱尔兰
埃琳诺·帕克
苏珊·萨兰登
西恩·海耶斯
内地
艾伦·伯斯汀
辛德勒的名单
李凯莉
安妮卡·彼得森
古装
克里斯汀·斯科特·托马斯
劳拉·琳妮
